推估情境,項目,年齡,2022,
中推估,男性,0歲,72188,
中推估,男性,1歲,78545,
中推估,男性,2歲,72297,
中推估,男性,3歲,111646,
中推估,男性,4歲,94483,
中推估,男性,5歲,101677,
中推估,男性,6歲,108539,
中推估,男性,7歲,111859,
中推估,男性,8歲,110108,
中推估,男性,9歲,101917,
中推估,男性,10歲,122186,
中推估,男性,11歲,103940,
中推估,男性,12歲,87974,
中推估,男性,13歲,101267,
中推估,男性,14歲,103725,
中推估,男性,15歲,107383,
中推估,男性,16歲,107837,
中推估,男性,17歲,108243,
中推估,男性,18歲,114261,
中推估,男性,19歲,118608,
中推估,男性,20歲,128260,
中推估,男性,21歲,133017,
中推估,男性,22歲,158637,
中推估,男性,23歲,146798,
中推估,男性,24歲,138170,
中推估,男性,25歲,167013,
中推估,男性,26歲,166062,
中推估,男性,27歲,166082,
中推估,男性,28歲,165508,
中推估,男性,29歲,166870,
中推估,男性,30歲,164732,
中推估,男性,31歲,163919,
中推估,男性,32歲,171903,
中推估,男性,33歲,158073,
中推估,男性,34歲,173176,
中推估,男性,35歲,156549,
中推估,男性,36歲,151194,
中推估,男性,37歲,169345,
中推估,男性,38歲,182670,
中推估,男性,39歲,188026,
中推估,男性,40歲,197417,
中推估,男性,41歲,202345,
中推估,男性,42歲,198558,
中推估,男性,43歲,203481,
中推估,男性,44歲,197201,
中推估,男性,45歲,186159,
中推估,男性,46歲,202583,
中推估,男性,47歲,173365,
中推估,男性,48歲,170317,
中推估,男性,49歲,169730,
中推估,男性,50歲,167982,
中推估,男性,51歲,173240,
中推估,男性,52歲,177585,
中推估,男性,53歲,177782,
中推估,男性,54歲,177147,
中推估,男性,55歲,168279,
中推估,男性,56歲,178817,
中推估,男性,57歲,175572,
中推估,男性,58歲,177884,
中推估,男性,59歲,178894,
中推估,男性,60歲,175533,
中推估,男性,61歲,171736,
中推估,男性,62歲,168838,
中推估,男性,63歲,165117,
中推估,男性,64歲,158685,
中推估,男性,65歲,148949,
中推估,男性,66歲,152846,
中推估,男性,67歲,147782,
中推估,男性,68歲,136769,
中推估,男性,69歲,130129,
中推估,男性,70歲,125191,
中推估,男性,71歲,124317,
中推估,男性,72歲,102947,
中推估,男性,73歲,93103,
中推估,男性,74歲,80130,
中推估,男性,75歲,68184,
中推估,男性,76歲,53151,
中推估,男性,77歲,45802,
中推估,男性,78歲,51387,
中推估,男性,79歲,50079,
中推估,男性,80歲,46586,
中推估,男性,81歲,44746,
中推估,男性,82歲,41223,
中推估,男性,83歲,36244,
中推估,男性,84歲,31099,
中推估,男性,85歲,27375,
中推估,男性,86歲,23329,
中推估,男性,87歲,20352,
中推估,男性,88歲,17365,
中推估,男性,89歲,14890,
中推估,男性,90歲,13195,
中推估,男性,91歲,11571,
中推估,男性,92歲,9726,
中推估,男性,93歲,7421,
中推估,男性,94歲,5620,
中推估,男性,95歲,4067,
中推估,男性,96歲,2901,
中推估,男性,97歲,1891,
中推估,男性,98歲,1083,
中推估,男性,99歲,624,
中推估,男性,100歲以上,529,
中推估,女性,0歲,66823,
中推估,女性,1歲,72648,
中推估,女性,2歲,66903,
中推估,女性,3歲,103603,
中推估,女性,4歲,88372,
中推估,女性,5歲,94536,
中推估,女性,6歲,100872,
中推估,女性,7歲,103281,
中推估,女性,8歲,103039,
中推估,女性,9歲,94524,
中推估,女性,10歲,113903,
中推估,女性,11歲,96142,
中推估,女性,12歲,80696,
中推估,女性,13歲,93260,
中推估,女性,14歲,94728,
中推估,女性,15歲,98078,
中推估,女性,16歲,98588,
中推估,女性,17歲,99657,
中推估,女性,18歲,103661,
中推估,女性,19歲,107988,
中推估,女性,20歲,117494,
中推估,女性,21歲,123091,
中推估,女性,22歲,145941,
中推估,女性,23歲,134595,
中推估,女性,24歲,127717,
中推估,女性,25歲,154093,
中推估,女性,26歲,153649,
中推估,女性,27歲,155242,
中推估,女性,28歲,153682,
中推估,女性,29歲,156441,
中推估,女性,30歲,152449,
中推估,女性,31歲,151609,
中推估,女性,32歲,159636,
中推估,女性,33歲,149438,
中推估,女性,34歲,164751,
中推估,女性,35歲,150352,
中推估,女性,36歲,149092,
中推估,女性,37歲,169261,
中推估,女性,38歲,182998,
中推估,女性,39歲,190211,
中推估,女性,40歲,202271,
中推估,女性,41歲,207188,
中推估,女性,42歲,205570,
中推估,女性,43歲,208913,
中推估,女性,44歲,203222,
中推估,女性,45歲,194183,
中推估,女性,46歲,209298,
中推估,女性,47歲,182282,
中推估,女性,48歲,178614,
中推估,女性,49歲,177305,
中推估,女性,50歲,177801,
中推估,女性,51歲,181630,
中推估,女性,52歲,185517,
中推估,女性,53歲,185380,
中推估,女性,54歲,184130,
中推估,女性,55歲,174554,
中推估,女性,56歲,187247,
中推估,女性,57歲,184702,
中推估,女性,58歲,187177,
中推估,女性,59歲,190172,
中推估,女性,60歲,186093,
中推估,女性,61歲,182355,
中推估,女性,62歲,180140,
中推估,女性,63歲,178634,
中推估,女性,64歲,172627,
中推估,女性,65歲,164134,
中推估,女性,66歲,168658,
中推估,女性,67歲,163180,
中推估,女性,68歲,153816,
中推估,女性,69歲,146400,
中推估,女性,70歲,142030,
中推估,女性,71歲,142824,
中推估,女性,72歲,118730,
中推估,女性,73歲,108916,
中推估,女性,74歲,94027,
中推估,女性,75歲,81501,
中推估,女性,76歲,65068,
中推估,女性,77歲,57344,
中推估,女性,78歲,65233,
中推估,女性,79歲,64526,
中推估,女性,80歲,61983,
中推估,女性,81歲,59766,
中推估,女性,82歲,57625,
中推估,女性,83歲,52488,
中推估,女性,84歲,45958,
中推估,女性,85歲,42014,
中推估,女性,86歲,36372,
中推估,女性,87歲,32811,
中推估,女性,88歲,28130,
中推估,女性,89歲,23484,
中推估,女性,90歲,19930,
中推估,女性,91歲,16924,
中推估,女性,92歲,13611,
中推估,女性,93歲,10679,
中推估,女性,94歲,8135,
中推估,女性,95歲,5915,
中推估,女性,96歲,4401,
中推估,女性,97歲,2861,
中推估,女性,98歲,1769,
中推估,女性,99歲,1108,
中推估,女性,100歲以上,918,